Original Text,Initial,Machine translation,Better translation,Best translation,Vencedor,Score Annie,Score Online
"\F[alice_depressed]\AA[N]...Alright, good point.",,"\F[alice_depressed]\AA[N]...Tudo bem, bom argumento.",,"\F[alice_depressed]\AA[N]...Tudo bem, bom argumento.",Online (Annie falhou),0.0,0.641
"\F[alice_depressed]\AA[N]The way that you view it, with regards to insanity, you're the same as most people.",,"\F[alice_depressed]\AA[N]Do jeito que você vê as coisas, no que diz respeito à insanidade, você é igual à maioria das pessoas.",,"\F[alice_depressed]\AA[N]Do jeito que você vê as coisas, no que diz respeito à insanidade, você é igual à maioria das pessoas.",Online (Annie falhou),0.0,0.674
\F[alice_depressed]\AA[N]People go to university expecting to outshine their peers...,,\F[alice_depressed]\AA[N]As pessoas vão para a universidade esperando ofuscar seus colegas...,,\F[alice_depressed]\AA[N]As pessoas vão para a universidade esperando ofuscar seus colegas...,Online (Annie falhou),0.0,0.669
\F[alice_depressed]\AA[N]Even if they're reusing the same study habits from high school.,,\F[alice_depressed]\AA[N]Emesmo que estejam reutilizando os mesmos hábitos de estudo do ensino médio.,,\F[alice_depressed]\AA[N]Emesmo que estejam reutilizando os mesmos hábitos de estudo do ensino médio.,Online (Annie falhou),0.0,0.669
"\F[alice_depressed]\AA[N]People go to work every single day, doing random stuff for an apathetic boss...",,"\F[alice_depressed]\AA[N]As pessoas vão trabalhar todos os dias, fazendo coisas aleatórias para um chefe apático...",,"\F[alice_depressed]\AA[N]As pessoas vão trabalhar todos os dias, fazendo coisas aleatórias para um chefe apático...",Online (Annie falhou),0.0,0.682
"\F[alice_depressed]\AA[N]Expecting that out of all of the other employees, they'll be the ones to get rich.",,"\F[alice_depressed]\AA[N]Esperando que, de todos os outros funcionários, sejam eles os que ficarão ricos.",,"\F[alice_depressed]\AA[N]Esperando que, de todos os outros funcionários, sejam eles os que ficarão ricos.",Online (Annie falhou),0.0,0.658
\F[alice_depressed]\AA[N]It's all the same to you.,,\F[alice_depressed]\AA[N]É tudo igual para você.,,\F[alice_depressed]\AA[N]É tudo igual para você.,Online (Annie falhou),0.0,0.64
\F[alice_depressed]\AA[N]Except for the fact that society doesn't consider what you do to be productive.,,\F[alice_depressed]\AA[N]E Exceto pelo fato de que a sociedade não considera produtivo o que você faz.,,\F[alice_depressed]\AA[N]E Exceto pelo fato de que a sociedade não considera produtivo o que você faz.,Online (Annie falhou),0.0,0.656
\F[alice_depressed]\AA[N]...,,\F[alice_depressed]\AA[N]...,,\F[alice_depressed]\AA[N]...,Online (Annie falhou),0.0,0.617
\F[alice_depressed]\AA[N]...You do miss blissful ignorance.,,\F[alice_depressed]\AA[N]...Você sente falta da feliz ignorância.,,\F[alice_depressed]\AA[N]...Você sente falta da feliz ignorância.,Online (Annie falhou),0.0,0.637
\F[alice_depressed]\AA[N]You hate being able to see the systems for what they are.,,\F[alice_depressed]\AA[N]Você odeia poder ver os sistemas como eles são.,,\F[alice_depressed]\AA[N]Você odeia poder ver os sistemas como eles são.,Online (Annie falhou),0.0,0.67
\F[alice_depressed]\AA[N]You hate how you can't just go along with it like everyone else.,,\F[alice_depressed]\AA[N]Você odeia como não pode simplesmente concordar com isso como todo mundo.,,\F[alice_depressed]\AA[N]Você odeia como não pode simplesmente concordar com isso como todo mundo.,Online (Annie falhou),0.0,0.654
\F[alice_no]\AA[F]...Even though it all is the same... the difference is that those people are happy...,,\F[alice_no]\AA[F]...Mesmo sendo tudo igual... a diferença é que essas pessoas são felizes...,,\F[alice_no]\AA[F]...Mesmo sendo tudo igual... a diferença é que essas pessoas são felizes...,Online (Annie falhou),0.0,0.678
\F[alice_depressed]\AA[F]While I'm not.,,\F[alice_depressed]\AA[F]Enquanto não estou.,,\F[alice_depressed]\AA[F]Enquanto não estou.,Online (Annie falhou),0.0,0.628
\F[alice_no]\AA[F]\..\..\..,,\F[alice_no]\AA[F]\..\..\..,,\F[alice_no]\AA[F]\..\..\..,Online (Annie falhou),0.0,0.618
"\F[alice_no]\AA[N]Awwwww, don't be such a Debbie-downer!",,"\F[alice_no]\AA[N]Awwww, não seja tão deprimente com Debbie!",,"\F[alice_no]\AA[N]Awwww, não seja tão deprimente com Debbie!",Online (Annie falhou),0.0,0.609
\F[alice_no]\AA[N]Maybe you should watch some TV to return to your usual state of apathy!,,\F[alice_no]\AA[N]Talvez você devesse assistir um pouco de TV para voltar ao seu estado habitual de apatia!,,\F[alice_no]\AA[N]Talvez você devesse assistir um pouco de TV para voltar ao seu estado habitual de apatia!,Online (Annie falhou),0.0,0.684
Hm... this plant looks different from yesterday.,,Hm... esta planta parece diferente de ontem.,Hm... esta planta parece diferente de ontem.,Hm... esta planta parece diferente de ontem.,Annie,0.682,0.682
Smells different too.,,Cheira diferente também.,Hurle différent aussi.,Cheira diferente também.,Online,0.602,0.632
...You think that this might be the source of that decaying odor.,,...Você acha que esta pode ser a fonte daquele odor podre.,,...Você acha que esta pode ser a fonte daquele odor podre.,Online (Annie falhou),0.0,0.66
"Wouldn't make much sense, though. How could a plant be growing and decaying?",,"Não faria muito sentido, no entanto.Como uma planta poderia estar crescendo e se deteriorando?",,"Não faria muito sentido, no entanto.Como uma planta poderia estar crescendo e se deteriorando?",Online (Annie falhou),0.0,0.688
The scent of rot overpowers you.,,O cheiro de podridão domina você.,El aroma de putrefação te domina.,El aroma de putrefação te domina.,Annie,0.662,0.659
rot_2,,rot_2,_2,rot_2,Online,0.59,0.602
"Huh, looks that that plant brought a little buddy.",,"Hã, parece que aquela planta trouxe um amiguinho.",Parece que esa planta trajo un amiguinho.,"Hã, parece que aquela planta trouxe um amiguinho.",Online,0.639,0.67
You wonder what this plant is feeding off of to grow so quickly.,,Você se pergunta do que esta planta está se alimentando para crescer tão rapidamente.,Você se pregunta de que se alimenta esta planta para crecer tan rápido.,Você se pregunta de que se alimenta esta planta para crecer tan rápido.,Annie,0.669,0.669
WallCrack,,Parede rachada,Fissura mural,Fissura mural,Annie,0.609,0.54
"You used to care about that crack in the wall, but now it's just decoration.",,"Você costumava se preocupar com aquela rachadura na parede, mas agora é só decoração.",,"Você costumava se preocupar com aquela rachadura na parede, mas agora é só decoração.",Online (Annie falhou),0.0,0.671
...Another one?,,...Outro?,...Outro?,...Outro?,Annie,0.584,0.584
"<Hitbox Up: 1><Hitbox Right: 1><Click Trigger><Sprite Offset: +16, +4>",,,"<Hitbox Up: 1><Hitbox Dright: 1><Click Trigger><Sprite Offset: +16, +4>","<Hitbox Up: 1><Hitbox Dright: 1><Click Trigger><Sprite Offset: +16, +4>",Annie (Rival vazio),0.629,0.0
"---Alice realizes how pointless everything is---
BEAT 5",,"---Alice percebe o quanto tudo é inútil---
BATIDA 5",---Alice se rend compte de quão inútil tout est----BAT 5,---Alice se rend compte de quão inútil tout est----BAT 5,Annie,0.679,0.657
It's close to blocking off the exit.,,Está perto de bloquear a saída.,,Está perto de bloquear a saída.,Online (Annie falhou),0.0,0.67
\F[alice_no]\AA[F]...It's not like it matters.,,\F[alice_no]\AA[F]...Não é como se isso importasse.,,\F[alice_no]\AA[F]...Não é como se isso importasse.,Online (Annie falhou),0.0,0.668
\F[alice_downturned]\AA[F]I was never going to leave in the first place.,,"\F[alice_downturned]\AA[F]Em primeiro lugar, eu nunca iria embora.",,"\F[alice_downturned]\AA[F]Em primeiro lugar, eu nunca iria embora.",Online (Annie falhou),0.0,0.669
\F[alice_downturned]\AA[N]Quite the thought of despair here.,,\F[alice_downturned]\AA[N]É bastante desespero aqui.,,\F[alice_downturned]\AA[N]É bastante desespero aqui.,Online (Annie falhou),0.0,0.621
\F[alice_downturned]\AA[N]But it's true: There's nothing out there for you.,,\F[alice_downturned]\AA[N]Mas é verdade: não há nada para você.,,\F[alice_downturned]\AA[N]Mas é verdade: não há nada para você.,Online (Annie falhou),0.0,0.66
\F[alice_downturned]\AA[N]You're sure that no one in your family cares.,,\F[alice_downturned]\AA[N]Você tem certeza de que ninguém em sua família se importa.,,\F[alice_downturned]\AA[N]Você tem certeza de que ninguém em sua família se importa.,Online (Annie falhou),0.0,0.67
"\F[alice_downturned]\AA[N]You're sure that even if you finally did go out, you'd be miserable.",,"\F[alice_downturned]\AA[N]Você tem certeza de que, mesmo que finalmente saísse, ficaria infeliz.",,"\F[alice_downturned]\AA[N]Você tem certeza de que, mesmo que finalmente saísse, ficaria infeliz.",Online (Annie falhou),0.0,0.646
"\F[alice_downturned]\AA[N]Hell, the one person you remember being kind to you wound up dead. What does that mean?",,"\F[alice_downturned]\AA[N]Inferno, a única pessoa que você lembra de ter sido gentil com você acabou morta.O que isso significa?",,"\F[alice_downturned]\AA[N]Inferno, a única pessoa que você lembra de ter sido gentil com você acabou morta.O que isso significa?",Online (Annie falhou),0.0,0.667
\F[alice_downturned]\AA[N]Does it mean that you have to resort to assholery if you want to live?,,\F[alice_downturned]\AA[N]Isso significa que você terá que recorrer à astúcia se quiser viver?,,\F[alice_downturned]\AA[N]Isso significa que você terá que recorrer à astúcia se quiser viver?,Online (Annie falhou),0.0,0.652
"\F[alice_downturned]\AA[N]...The worst part of it all is that even after thinking about it, you don't know the root of your issues.",,"\F[alice_downturned]\AA[N]...A pior parte de tudo é que mesmo depois de pensar sobre isso, você não sabe a raiz dos seus problemas.",,"\F[alice_downturned]\AA[N]...A pior parte de tudo é que mesmo depois de pensar sobre isso, você não sabe a raiz dos seus problemas.",Online (Annie falhou),0.0,0.689
\F[alice_downturned]\AA[N]Maybe it was a bunch of small things snowballing up to something massive.,,\F[alice_downturned]\AA[N]Talvez tenha sido um monte de pequenas coisas se transformando em algo enorme.,,\F[alice_downturned]\AA[N]Talvez tenha sido um monte de pequenas coisas se transformando em algo enorme.,Online (Annie falhou),0.0,0.639
\F[alice_downturned]\AA[N]But you can't even figure out the smaller things.,,\F[alice_downturned]\AA[N]Mas você não consegue nem descobrir as coisas menores.,,\F[alice_downturned]\AA[N]Mas você não consegue nem descobrir as coisas menores.,Online (Annie falhou),0.0,0.66
You fall back asleep.,,Você volta a dormir.,Usted se vuelve a dormir.,Você volta a dormir.,Online,0.619,0.657
"For a long, long time.",,"Por muito, muito tempo.","Durante muito, muito tempo.","Por muito, muito tempo.",Online,0.582,0.594
"And again, it's dreamless.",,"E, novamente, não há sonhos.","Y de nuevo, no tiene sonhos.","E, novamente, não há sonhos.",Online,0.616,0.646
...You've come to realize that maybe you don't dream because your mind itself is a prison.,,...Você percebeu que talvez não sonhe porque sua própria mente é uma prisão.,...vous habéis percebido que talvez você no soñe porque su mente en sí misma es una prisão.,...vous habéis percebido que talvez você no soñe porque su mente en sí misma es una prisão.,Annie,0.667,0.665
\..\..\..,,\..\..\..,. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,\..\..\..,Online,0.562,0.6
\..\..\..\..\..,,\..\..\..\..\..,. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,\..\..\..\..\..,Online,0.566,0.592
It smells like blood and guts are spread around the room.,,Cheira a sangue e tripas espalhadas pela sala.,,Cheira a sangue e tripas espalhadas pela sala.,Online (Annie falhou),0.0,0.648
"---Ending---
BEAT FINAL!!!!",,"---Finalizando---
BATA FINAL!!!!",---Ending----- BEAT FINAL!!!!,---Ending----- BEAT FINAL!!!!,Annie,0.649,0.612
The exit's blocked.,,A saída está bloqueada.,La salida está bloqueada.,A saída está bloqueada.,Online,0.688,0.688
You're too late.,,Você está muito atrasado.,Llegas tarde demais.,Você está muito atrasado.,Online,0.602,0.673
The vines... rot... guts? ,,As vinhas... apodrecem... tripas?,As vides... putrefaçons... tripas?,As vinhas... apodrecem... tripas?,Online,0.562,0.586
The substance stays wrapped around you.,,A substância permanece enrolada em você.,,A substância permanece enrolada em você.,Online (Annie falhou),0.0,0.663
You don't try to fight it.,,Você não tenta lutar contra isso.,Você no intenta luchar contra ella.,Você não tenta lutar contra isso.,Online,0.646,0.666
"You want to scream, but you're too tired.",,"Você quer gritar, mas está muito cansado.",,"Você quer gritar, mas está muito cansado.",Online (Annie falhou),0.0,0.67
"The strange tentacles poke through you, stitching you straight to the bed.",,"Os estranhos tentáculos cutucam você, te prendendo direto na cama.",,"Os estranhos tentáculos cutucam você, te prendendo direto na cama.",Online (Annie falhou),0.0,0.644
You never intended to leave in the first place.,,Você nunca teve a intenção de partir em primeiro lugar.,Nunca pretendiste partir en primer lugar.,Você nunca teve a intenção de partir em primeiro lugar.,Online,0.669,0.681
"Not for a long time, at least.",,"Não por muito tempo, pelo menos.","No durante mucho tiempo, pelo menos.","Não por muito tempo, pelo menos.",Online,0.643,0.649
But now that you're truly chained to the bed... you expect to regret it all.,,Mas agora que você está realmente acorrentado à cama... você espera se arrepender de tudo.,,Mas agora que você está realmente acorrentado à cama... você espera se arrepender de tudo.,Online (Annie falhou),0.0,0.665
...You don't.,,...Você não.,...você no sabe.,...Você não.,Online,0.568,0.634
You had no dreams to live for...,,Você não tinha sonhos pelos quais viver...,Usted no tenía ningún sueño para vivir por...,Você não tinha sonhos pelos quais viver...,Online,0.655,0.671
So your nightmares became your reality.,,Então seus pesadelos se tornaram sua realidade.,Así que vuestros pesadelos se tornaron vuestra realidad.,Así que vuestros pesadelos se tornaron vuestra realidad.,Annie,0.693,0.685
END: BEDROT,,FIM: CAMA,Fin: BEDROT,Fin: BEDROT,Annie,0.603,0.559
